State/UT,District,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,Households_Rural,Households_Urban
jammu and kashmir,kupwara,870354.0,92052.478,13150.354000000001,77476.182,11496.869999999999,1114.848,16304.652,158438.0,23226.0
jammu and kashmir,badgam,753745.0,74380.487,6265.311,133820.617,9190.22,706.9399999999999,24579.76,160649.0,27190.0
jammu and kashmir,leh(ladakh),133487.0,19013.8,775.32,32526.519999999997,9540.804,192.21400000000003,16740.092,36920.0,17474.0
jammu and kashmir,kargil,140802.0,29591.21,1412.95,39078.159999999996,5348.512,93.288,7579.65,40370.0,7774.0
jammu and kashmir,punch,476835.0,78622.705,3171.3360000000002,18103.043,4168.437,122.152,11497.556999999999,132139.0,15269.0
jammu and kashmir,rajouri,642415.0,103721.03,5293.89,19999.14,3256.4880000000003,297.636,14969.340000000002,196070.0,17508.0
jammu and kashmir,kathua,616435.0,66564.258,6348.09,25755.108,9037.710000000001,1037.663,22460.382999999998,181374.0,33473.0
jammu and kashmir,baramula,1008039.0,97060.32299999999,11158.778999999999,156433.449,16636.88,2446.6,45262.1,210543.0,48932.0
jammu and kashmir,bandipore,392232.0,43239.777,5958.554000000001,56445.221,5442.05,754.865,16554.365,80521.0,17555.0
jammu and kashmir,srinagar,1236829.0,1734.912,284.634,4007.466,59791.272,5669.862000000001,252824.30099999998,4518.0,257721.0
jammu and kashmir,ganderbal,297446.0,30235.512,6059.86,44332.659999999996,2982.76,610.11,12378.454000000002,63788.0,13558.0
jammu and kashmir,pulwama,560440.0,63433.6,6785.92,92495.04000000001,9202.072,651.09,19771.432999999997,147520.0,21703.0
jammu and kashmir,shupiyan,266215.0,25104.512000000002,4461.344,44613.439999999995,1813.568,173.976,4997.856,75616.0,5272.0
jammu and kashmir,anantnag,1078692.0,89660.011,10560.417,105190.036,20139.809999999998,2190.646,53352.829999999994,207067.0,70666.0
jammu and kashmir,kulgam,424483.0,47016.479999999996,4509.744,40011.984000000004,10574.76,1057.476,14729.13,95952.0,25178.0
jammu and kashmir,doda,409936.0,73360.20000000001,1956.2720000000002,29344.08,2689.95,329.15,10600.900000000001,122267.0,11350.0
jammu and kashmir,ramban,283713.0,43404.715,1769.901,15002.018,1030.8129999999999,128.184,4417.007,84281.0,5341.0
jammu and kashmir,kishtwar,230696.0,37636.56,2460.852,14475.599999999999,809.055,41.951,5597.462,72378.0,5993.0
jammu and kashmir,udhampur,554985.0,66452.808,2973.28,11001.136,5898.32,624.528,26056.695999999996,148664.0,34696.0
jammu and kashmir,reasi,314667.0,52469.028,1433.58,8601.48,4843.095,134.871,9661.668,95572.0,12261.0
jammu and kashmir,jammu,1529958.0,97753.344,12473.734,62623.236,56057.718,8433.462,210588.507,254566.0,248043.0
jammu and kashmir,samba,318898.0,28745.335,3110.151,24504.22,3558.042,219.879,14132.223,94247.0,19989.0
himachal pradesh,chamba,519080.0,70830.1,4287.085,90960.76,2573.4960000000005,96.852,12037.320000000002,186395.0,13836.0
himachal pradesh,kangra,1510075.0,148845.21300000002,8236.493999999999,378878.72400000005,7411.33,624.1120000000001,32102.761,588321.0,39007.0
himachal pradesh,lahul and spiti,31564.0,5875.258000000001,139.472,13615.954,,,,17434.0,0.0
himachal pradesh,kullu,437903.0,46198.625,2015.94,91053.29000000001,3189.186,269.21700000000004,18762.354,167995.0,20709.0
himachal pradesh,mandi,999777.0,120716.12,6898.064,353525.77999999997,5483.407999999999,221.87199999999999,29160.32,431129.0,31696.0
himachal pradesh,hamirpur,454768.0,42361.056000000004,1961.16,174739.356,2619.904,91.392,14059.135999999999,196116.0,15232.0
himachal pradesh,una,521173.0,46828.023,2591.274,108833.508,4910.744,966.0479999999999,15013.995999999997,185091.0,20126.0
himachal pradesh,bilaspur,381956.0,41011.202,1981.954,104891.10399999999,2025.8029999999999,95.89600000000002,11207.845000000001,152458.0,11987.0
himachal pradesh,solan,580320.0,47232.814999999995,3662.9529999999995,133023.03,9632.183,721.126,46255.082,192787.0,51509.0
himachal pradesh,sirmaur,529855.0,52870.518,4790.856,97357.038,4147.638,210.54,20232.893999999997,171102.0,21054.0
himachal pradesh,shimla,814010.0,68141.636,6423.187,167002.862,17357.176000000003,1246.6480000000001,86977.672,279269.0,95896.0
himachal pradesh,kinnaur,84121.0,13042.602,445.14,30803.688000000002,,,,44514.0,0.0
punjab,gurdaspur,2298323.0,207904.84000000003,37877.4,210850.86000000002,76235.56800000001,9645.376,158777.728,420860.0,185488.0
punjab,kapurthala,815168.0,68489.26199999999,10091.412999999999,128045.142,30646.4,3926.5699999999997,90119.56999999999,165433.0,95770.0
punjab,jalandhar,2193590.0,154268.313,20481.018,251057.63999999998,143938.371,18133.967999999997,361923.778,330339.0,377791.0
punjab,hoshiarpur,1586625.0,173295.93,27473.744999999995,240923.61,44107.056,6301.008000000001,114318.28800000002,422673.0,128592.0
punjab,shahid bhagat singh nagar,612310.0,73450.368,9891.072,122356.224,17417.88,3144.895,41173.933,183168.0,48383.0
punjab,fatehgarh sahib,600163.0,45965.568999999996,7523.776,96986.17499999999,20239.961,2580.165,53839.44300000001,117559.0,57337.0
punjab,ludhiana,3498739.0,178159.432,28047.272,345653.0,262491.701,31447.661000000004,621893.5410000001,395032.0,641789.0
punjab,moga,995746.0,96861.34,15857.83,183007.93,25802.112,4967.648,70214.368,214295.0,74144.0
punjab,firozpur,2029074.0,177397.69799999997,37640.376000000004,232115.65199999997,63239.74800000001,10924.628,139558.276,348522.0,153868.0
punjab,muktsar,901896.0,78939.696,15997.248999999998,108093.56099999999,30083.949999999997,6793.15,67035.7,149507.0,74650.0
punjab,faridkot,617508.0,48973.54,7695.842000000001,80056.746,23802.467999999997,4772.276999999999,54674.975999999995,99946.0,58917.0
punjab,bathinda,1388525.0,111479.24900000001,16143.766000000001,183908.037,44570.412000000004,7428.402000000001,128071.153,218159.0,137563.0
punjab,mansa,769751.0,67705.395,10483.416,91584.287,17318.026,2996.3740000000003,43168.1,145603.0,50786.0
punjab,patiala,1895686.0,143653.91999999998,21248.808999999997,231342.667,70224.98000000001,9159.78,211329.21000000002,299279.0,218090.0
punjab,amritsar,2490656.0,152063.304,21487.206,167490.016,163827.30000000002,20815.704,360034.58400000003,275477.0,385476.0
punjab,tarn taran,1119627.0,124053.369,18040.077,144320.616,19383.252,3156.4469999999997,38988.789,222717.0,44457.0
punjab,rupnagar,684627.0,52745.672,8889.72,84304.17799999999,16708.212,3026.85,55512.429000000004,148162.0,60537.0
punjab,sahibzada ajit singh nagar,994628.0,50670.57600000001,8562.389000000001,71196.85100000001,41247.954,6613.596,160814.80800000002,117293.0,174042.0
punjab,sangrur,1655169.0,133515.29200000002,17821.516,229634.61599999998,53935.072,7369.036000000001,144244.96000000002,292156.0,156788.0
punjab,barnala,595527.0,50980.769,6667.505,82266.754,22231.02,3199.0980000000004,48908.244000000006,102577.0,54222.0
chandigarh,chandigarh,1055450.0,4179.259,249.50799999999998,7841.68,76995.296,10130.96,253563.45599999998,8911.0,289456.0
uttarakhand,uttarkashi,330086.0,30279.96,3364.44,44298.46,1440.699,72.488,8290.815,112148.0,9061.0
uttarakhand,chamoli,391605.0,42983.142,4085.85,76813.98,2657.096,206.154,20042.75,163434.0,22906.0
uttarakhand,rudraprayag,242285.0,22315.59,2141.395,57479.549999999996,432.03799999999995,13.362,4079.8639999999996,112705.0,4454.0
uttarakhand,tehri garhwal,618931.0,62668.28400000001,6357.652,113756.55900000001,2880.7619999999997,190.23899999999998,26062.743,227059.0,27177.0
uttarakhand,dehradun,1696694.0,60941.41499999999,8901.554999999998,170270.76999999996,54956.17199999999,6465.432,256462.136,228245.0,269393.0
uttarakhand,garhwal,687271.0,70200.18200000002,5034.276000000001,135086.406,5296.320000000001,404.58000000000004,34830.66,279682.0,36780.0
uttarakhand,pithoragarh,483439.0,46656.49799999999,4224.8009999999995,88169.76,2599.344,131.28,25337.04,183687.0,26256.0
uttarakhand,bageshwar,259898.0,24103.781,2784.899,51376.585,353.08,34.92,3491.9999999999995,96031.0,3880.0
uttarakhand,almora,622506.0,62673.496,4420.952,134188.896,3056.89,274.066,19374.358,260056.0,21082.0
uttarakhand,champawat,259648.0,34336.405999999995,5112.12,34421.608,3607.759,757.501,10258.360999999999,85202.0,12839.0
uttarakhand,nainital,954605.0,61208.261999999995,9847.385999999999,134001.684,20904.246,3167.31,100086.996,193086.0,105577.0
uttarakhand,udham singh nagar,1648902.0,123657.35399999999,18050.202,153292.014,52872.092,5810.12,133632.76,269406.0,145253.0
uttarakhand,hardwar,1890422.0,145782.924,15996.884,151517.65600000002,47104.299,4096.026,172405.45799999998,301828.0,186183.0
haryana,panchkula,561293.0,24955.040000000005,3473.8550000000005,31193.800000000003,21259.911999999997,4401.832,82042.65599999999,70895.0,93656.0
haryana,ambala,1128350.0,77511.33,7540.695,89611.51500000001,39729.044,4616.403,124922.663,175365.0,139891.0
haryana,yamunanagar,1214205.0,101012.544,13725.696,98653.43999999999,48564.80099999999,5730.36,131655.021,214464.0,143259.0
haryana,kurukshetra,964655.0,93634.38,8752.778999999999,140655.123,26127.328,3089.3799999999997,81559.632,203553.0,88268.0
haryana,kaithal,1074304.0,112079.135,11092.367999999999,133339.507,27931.824,3103.536,62600.592000000004,231091.0,75696.0
haryana,karnal,1505324.0,139023.95,14341.418000000001,200779.85199999998,39824.560000000005,3533.92,124502.72,292682.0,135920.0
haryana,panipat,1205437.0,82586.952,7287.084,115725.834,59983.56,4460.316,145959.996,173502.0,153804.0
haryana,sonipat,1450001.0,142496.71600000001,13341.326000000001,159528.196,47553.056000000004,4541.584,123157.072,283858.0,133576.0
haryana,jind,1334152.0,142229.185,13916.75,142785.85499999998,30396.434999999998,2510.62,78546.54,278335.0,89665.0
haryana,fatehabad,942011.0,94201.28,11572.140000000001,148001.58000000002,18711.68,2712.6400000000003,50322.240000000005,203020.0,55360.0
haryana,sirsa,1295189.0,102363.49200000001,14483.084000000003,214791.50000000003,30794.28,3825.9559999999997,89490.04400000001,245476.0,93316.0
haryana,hisar,1743931.0,140436.045,16610.715,188758.125,49624.386000000006,5085.729,137931.135,302013.0,154113.0
haryana,bhiwani,1634445.0,163884.57299999997,18923.490999999998,175667.124,41281.76,4366.34,86135.98,357047.0,99235.0
haryana,rohtak,1061204.0,86375.079,8234.541000000001,102318.552,43869.087,3556.9530000000004,121331.619,175203.0,131739.0
haryana,jhajjar,958405.0,95529.016,10378.984,123912.35999999999,32036.152,3524.7599999999998,71826.776,211816.0,78328.0
haryana,mahendragarh,922088.0,94188.64600000001,6935.506000000001,87253.14000000001,16448.352000000003,1238.048,34134.752,223726.0,44216.0
haryana,rewari,900332.0,83170.23300000001,6581.817,99325.602,21484.55,1663.32,60849.78999999999,199449.0,69305.0
haryana,gurgaon,1514432.0,55689.278999999995,4534.496,92957.16799999999,104664.712,14897.532,350282.99600000004,141703.0,381988.0
haryana,mewat,1089263.0,109440.432,16865.82,33356.844000000005,14929.644000000002,1739.376,22648.125,187398.0,36237.0
haryana,faridabad,1809733.0,37886.4,3771.1,51392.200000000004,149745.571,9191.544,341619.052,87700.0,382981.0
haryana,palwal,1042708.0,95081.259,11722.347,59728.149000000005,22838.58,2271.24,52238.52,186069.0,63090.0
nct of delhi,north west,3656539.0,31497.872,3041.64,43326.471999999994,329990.6,31656.074999999997,824017.2250000001,67592.0,959275.0
nct of delhi,north,887978.0,1141.536,40.608,4421.759999999999,110023.38900000001,10379.565,266606.541,4512.0,296559.0
nct of delhi,north east,2241624.0,1938.6639999999998,149.128,5059.7,171682.78,9645.1,458624.505,5326.0,482255.0
nct of delhi,east,1709346.0,72.762,13.031999999999998,1065.366,111593.94399999999,8761.508,430697.288,1086.0,461132.0
nct of delhi,new delhi,142004.0,,,,15167.232,1948.568,41025.256,,
nct of delhi,central,582320.0,,,,76594.521,6236.704000000001,176966.476,,
nct of delhi,west,2543243.0,873.747,32.562,1575.639,201514.464,19591.683999999997,629032.997,1809.0,699703.0
nct of delhi,south west,2292958.0,14618.545,1358.907,36113.983,168001.33099999998,15769.078,553130.736,41179.0,606503.0
nct of delhi,south,2731929.0,1205.134,134.22799999999998,2643.7079999999996,220627.935,21116.204999999998,640767.6,2918.0,728145.0
rajasthan,ganganagar,1969168.0,167430.437,9942.425,323327.66099999996,53096.834,5441.601,154343.592,397697.0,164897.0
rajasthan,hanumangarh,1774692.0,143173.712,9337.416,320195.55700000003,34999.46800000001,3369.514,102063.66600000001,389059.0,108694.0
rajasthan,bikaner,2363937.0,169891.524,16451.946,99047.43,53556.867,3335.0429999999997,181661.754,335754.0,196179.0
rajasthan,churu,2039547.0,135199.624,20004.025999999998,162101.59,45294.784,3277.9120000000003,130371.5,344897.0,148996.0
rajasthan,jhunjhunun,2137045.0,122110.288,12010.848,228706.56400000004,38190.678,2706.426,124044.525,500452.0,150357.0
rajasthan,alwar,3674179.0,309006.13,28162.584,115779.512,61334.49600000001,3407.472,168882.831,782294.0,212967.0
rajasthan,bharatpur,2548462.0,,,,54472.74,3112.728,90139.41500000001,,129697.0
rajasthan,dhaulpur,1206516.0,125367.27999999998,14168.219999999998,10304.159999999998,23333.147999999997,2051.91,36817.128,214670.0,58626.0
rajasthan,karauli,1458248.0,190349.32799999998,17082.631999999998,25013.853999999996,24612.820000000003,1838.5480000000002,37008.192,305047.0,59308.0
rajasthan,sawai madhopur,1335551.0,155695.464,12410.508000000002,24821.016000000003,24799.871999999996,1852.864,51452.608,282057.0,71264.0
rajasthan,dausa,1634409.0,170070.564,19137.452,33580.812000000005,15975.480000000001,834.54,45899.700000000004,361084.0,59610.0
rajasthan,jaipur,6626178.0,321562.266,31703.322,166065.02,264994.098,11734.055999999999,886899.066,754841.0,977838.0
rajasthan,sikar,2677333.0,165653.84,14771.68,212079.12000000002,47955.706,2852.384,150998.078,527560.0,178274.0
rajasthan,nagaur,3307743.0,313530.36799999996,42569.856,179063.68,53276.48,3995.736,134190.134,675712.0,166489.0
rajasthan,jodhpur,3687165.0,289186.425,30379.18,80037.45499999999,79320.03600000001,5226.514,277005.24199999997,584215.0,307442.0
rajasthan,jaisalmer,669919.0,89264.637,5091.744000000001,26572.539,12455.32,524.11,20501.95,159117.0,30830.0
rajasthan,barmer,2603751.0,322438.05,28769.725,52654.024999999994,16234.199999999999,1399.5,46351.439999999995,542825.0,55980.0
rajasthan,jalor,1828730.0,218411.536,35214.144,47371.408,17593.73,1928.08,29837.037999999997,419216.0,48202.0
rajasthan,sirohi,1036346.0,121175.77999999998,16458.915,38642.67,18663.252,1323.1409999999998,47493.798,238535.0,69639.0
rajasthan,pali,2037573.0,256967.409,27697.086000000003,95913.983,46416.256,3495.2,96607.328,512909.0,139808.0
rajasthan,ajmer,2583052.0,204258.16499999998,13917.39,57716.235,76702.401,3024.1090000000004,236980.178,409335.0,274919.0
rajasthan,tonk,1421326.0,161710.85100000002,5679.309,20624.859,29677.064999999995,2043.875,53713.034999999996,298911.0,81755.0
rajasthan,bundi,1110906.0,135027.668,8154.424,19906.388000000003,21319.872,1269.04,40736.184,239836.0,63452.0
rajasthan,bhilwara,2408523.0,294158.32499999995,19080.54,55651.575,43905.365000000005,1896.2450000000001,108961.15500000001,530015.0,145865.0
rajasthan,rajsamand,1156597.0,166323.612,12794.124,34422.286,18865.685999999998,610.54,43592.556000000004,304622.0,61054.0
rajasthan,dungarpur,1388552.0,200468.736,20014.592,29376.255999999998,8076.032000000001,662.4870000000001,23376.327,322816.0,31547.0
rajasthan,banswara,1797485.0,267839.78199999995,35529.767,26940.153000000002,9260.645,906.3609999999999,32510.774999999998,390437.0,39407.0
rajasthan,chittaurgarh,1544338.0,201362.22,13204.080000000002,35210.88,23817.964,1599.7140000000002,64432.925,366780.0,88873.0
rajasthan,kota,1951014.0,94199.20199999999,5696.7119999999995,25024.842,91338.355,5922.964999999999,239412.47999999998,203454.0,311735.0
rajasthan,baran,1222755.0,126336.28800000002,7724.704000000001,18688.800000000003,24361.595999999998,1396.08,39997.691999999995,249184.0,69804.0
rajasthan,jhalawar,1411129.0,178278.528,12840.831999999999,21500.928,19128.9,1339.0230000000001,42657.447,298624.0,63763.0
rajasthan,udaipur,3068420.0,399934.849,25287.061999999998,61886.757000000005,40209.18,2193.228,157546.878,665449.0,182769.0
rajasthan,pratapgarh,867848.0,132601.81600000002,5245.325000000001,13008.406,5824.5599999999995,339.76599999999996,17012.569,209813.0,24269.0
uttar pradesh,saharanpur,3466382.0,281363.13,34489.674,259580.17799999999,105990.188,8808.836,261423.52,605082.0,284156.0
uttar pradesh,muzaffarnagar,4143512.0,338220.492,30992.316,369886.554,118441.6,9475.328,274192.304,673746.0,296104.0
uttar pradesh,bijnor,3682713.0,359718.25,37613.125,344673.0,95924.69600000001,7188.736000000001,207574.752,683875.0,224648.0
uttar pradesh,moradabad,4772006.0,439672.73,41543.88,330966.24399999995,164249.316,11376.576000000001,332764.84799999994,692398.0,355518.0
uttar pradesh,rampur,2335819.0,257506.97500000003,24600.05,223781.1,69460.24500000001,5585.463,135053.631,396775.0,143217.0
uttar pradesh,jyotiba phule nagar,1840221.0,203212.24000000002,19817.392000000003,135362.864,58551.401999999995,4619.44,106247.12,335888.0,115486.0
uttar pradesh,meerut,3443689.0,190378.47999999998,15642.319999999998,202587.12,151606.77699999997,8868.363,392319.487,381520.0,422303.0
uttar pradesh,baghpat,1303048.0,128686.765,7873.760000000001,144680.34,32545.815,2169.721,60542.215,246055.0,69991.0
uttar pradesh,ghaziabad,4681645.0,180191.34900000002,12794.652,212533.386,285183.756,15053.688,792827.568,355407.0,836316.0
uttar pradesh,gautam buddha nagar,1648115.0,72263.20499999999,4100.04,88321.695,95240.735,4406.155,310125.52499999997,170835.0,338935.0
uttar pradesh,bulandshahr,3499171.0,370706.78699999995,28313.306999999997,203460.74099999998,95964.924,6205.584,188383.80000000002,658449.0,221628.0
uttar pradesh,aligarh,3673889.0,330060.33900000004,25031.031,124573.038,116999.408,7450.434000000001,232895.048,582117.0,275942.0
uttar pradesh,mahamaya nagar,1564708.0,158770.65,12102.300000000001,47544.75,39385.712,2716.2560000000003,61709.941000000006,288150.0,84883.0
uttar pradesh,mathura,2547184.0,217191.104,16299.52,79867.648,72009.81,4089.4459999999995,144375.22400000002,407488.0,177802.0
uttar pradesh,agra,4418797.0,262897.659,21369.753,82497.186,155417.464,7730.187999999999,333618.64,496971.0,406852.0
uttar pradesh,firozabad,2498156.0,201454.272,23433.049,39871.157999999996,96708.541,7424.84,152394.841,349747.0,185621.0
uttar pradesh,mainpuri,1868529.0,180745.65,25385.625,45694.125,30277.728000000003,3202.452,54878.382000000005,338475.0,72783.0
uttar pradesh,budaun,3681896.0,464965.22400000005,57587.436,149300.76,81154.024,9870.084,121417.70000000001,710956.0,156668.0
uttar pradesh,bareilly,4448359.0,397916.19,48634.201,282962.624,169063.86800000002,14511.92,334862.554,631613.0,362798.0
uttar pradesh,pilibhit,2031007.0,233088.50400000002,34201.183999999994,131971.96,40874.928,7529.592000000001,79598.544,371752.0,89638.0
uttar pradesh,shahjahanpur,3006538.0,319977.73500000004,62434.68000000001,140478.03,66952.85800000001,11046.548,115719.32600000002,520289.0,134714.0
uttar pradesh,kheri,4021243.0,483160.32,83798.118,138153.654,49313.776,9582.808,82046.064,754938.0,107672.0
uttar pradesh,sitapur,4483992.0,512273.877,100137.54299999999,98482.37700000001,47199.256,9462.115,80149.68000000001,827583.0,111319.0
uttar pradesh,hardoi,4092845.0,490059.899,65288.87900000001,136870.66199999998,56173.696,7990.224,89587.36,786613.0,121064.0
uttar pradesh,unnao,3108367.0,351827.03,43531.140999999996,94218.08600000001,53499.238000000005,6172.9890000000005,86784.963,596317.0,121039.0
uttar pradesh,lucknow,4589838.0,196856.66000000003,28564.865000000005,73993.325,223163.026,29420.206,629305.382,344155.0,717566.0
